Target,Mean Squared Error,R-Squared,Mean Absolute Error
Cumulative Oil Production (bbl),5436262157.163636,0.9999228979220554,50780.145454545454
Oil Recovery Factor (%),0.025086855076655815,0.999882756263977,0.10975180538254625
Cumulative CO2 Stored (SCF),6.718474179042375e+20,-0.8491698527996614,6613362206.603937
