Average Reservoir Pressure (psi),Cumulative Gas (CO2) Injection (SCF),Cumulative Gas (CO2) Production (SCF),Gas Injection Rate (SCF/day),Water Injection Rate (bbl/day),Cumulative Water Injection (bbl),Cumulative Water Production (bbl),Average Temperature (F),Gas-Oil Ratio SC (SCF/bbl),Water Cut (%),Cumulative Oil Production (bbl),Oil Recovery Factor (%),Cumulative CO2 Stored (SCF)
3501.759766,0,710888.4375,0,0,0,0.066527285,186,253.5490723,7.32E-06,534636.875,0.931365311,0
3501.746826,0,724624.6875,0,0,0,1.369447589,186,253.5494995,0.000115884,545878.9375,0.95094949,0
3501.745361,0,748230.9375,0,0,0,4.533645153,186,253.5501709,0.000299904,556426.4375,0.969323874,0
3501.672852,0,768847.125,0,0,0,115.969429,186,253.5735169,0.006120039,574523.375,1.000849605,0
3501.668701,0,792682.875,0,0,0,436.079834,186,253.6295471,0.019927146,590267.3125,1.028276324,0
3501.654541,0,814254.3125,0,0,0,1308.091797,186,253.7399902,0.046044689,608333.6875,1.059748888,0
3501.654297,0,835199.4375,0,0,0,3129.200195,186,254.0557098,0.113649338,622536.5,1.084491015,0
3501.653809,0,854837.375,0,0,0,3409.435547,186,254.1005096,0.122474916,624544.375,1.087988734,0
3501.662109,0,874724.6875,0,0,0,5458.482422,186,254.2017975,0.141825885,636942.9375,1.109587789,0
3501.660889,0,890935.125,0,0,0,8561.050781,186,254.252533,0.151231915,654355.625,1.139921665,0
3501.665039,0,911141.8125,0,0,0,10680.55762,186,254.2535706,0.151463211,666229.6875,1.160606861,0
3501.664063,0,930550.5,0,0,0,13294.1416,186,254.2571564,0.152174786,680791,1.185973287,0
3501.655518,0,953033.5,0,0,0,15521.94922,186,254.2711334,0.15475376,692959,1.207170606,0
3501.654297,0,973298.5625,0,0,0,18643.43164,186,254.2809296,0.156598806,709770.5,1.236457229,0
3501.62915,0,991751.1875,0,0,0,22039.74023,186,254.3324738,0.165847778,726852.6875,1.266215205,0
3501.62793,0,1010142.875,0,0,0,24908.76172,186,254.3522339,0.169396222,740920.375,1.290721893,0
3501.655762,0,1031700.375,0,0,0,27545.4668,186,254.2887116,0.158251315,754945.1875,1.315153837,0
3501.654541,0,1050493.625,0,0,0,29924.12109,186,254.2734375,0.155578434,767855.625,1.337644577,0
3501.629883,0,1068451.625,0,0,0,33129.90234,186,254.3224182,0.164427266,784146.5,1.366024017,0
3501.628662,0,1085764.25,0,0,0,35781.66797,186,254.3437195,0.168265343,797254.1875,1.388858318,0
3501.65332,0,1100556.5,0,0,0,38226.50781,186,254.2863312,0.158206791,810262.8125,1.411520004,0
3501.651856,0,1114395.125,0,0,0,40582.5625,186,254.2717743,0.155678064,823040.875,1.433780074,0
3501.681152,0,1134531.75,0,0,0,42345.69141,186,254.1883545,0.140447944,833831.3125,1.452577591,0
3501.68042,0,1152093.25,0,0,0,43942.28906,186,254.1556397,0.134356245,844118.0625,1.470497608,0
3501.631348,0,1170733.125,0,0,0,46663.27344,186,254.277771,0.157014817,858726.625,1.495946407,0
3501.62915,0,1188199.5,0,0,0,49250.37109,186,254.3327942,0.166913837,871639.125,1.518440604,0
3501.635986,0,1204754.75,0,0,0,51975.24609,186,254.3313599,0.166790456,885251.3125,1.542153955,0
3501.634522,0,1219368.25,0,0,0,54527.57031,186,254.3336487,0.16731222,897953.8125,1.564282298,0
3501.648682,0,1239266.875,0,0,0,56819.78906,186,254.2857208,0.158933312,910084.1875,1.585414052,0
3501.647461,0,1258394.875,0,0,0,58806.76172,186,254.2740631,0.156937733,920758.125,1.604008555,0
3501.612305,0,1276264.25,0,0,0,61835.74219,186,254.363266,0.172832385,935254.625,1.629262209,0
3501.608643,0,1293110,0,0,0,64878.91797,186,254.4048462,0.180134147,949105.375,1.653391004,0
3501.624268,0,1312267.5,0,0,0,67635.83594,186,254.3754578,0.175263181,962078.625,1.675991058,0
3501.622803,0,1326655.375,0,0,0,70224.03125,186,254.3699341,0.174454778,974326.375,1.697327256,0
3501.608398,0,1347590.75,0,0,0,73297.71094,186,254.4082947,0.181205899,988215.0625,1.721522093,0
3501.606934,0,1368185.25,0,0,0,75655.73438,186,254.4264069,0.184412777,998643.625,1.739689231,0
3501.582764,0,1389370.75,0,0,0,79368.23438,186,254.5040741,0.197495282,1013729.188,1.765968919,0
3501.580811,0,1409024,0,0,0,83142.67188,186,254.5366211,0.203011349,1028546.875,1.79178226,0
3501.572266,0,1432372.125,0,0,0,87125.0625,186,254.5628967,0.207473487,1043759.188,1.818282962,0
3501.570313,0,1456152,0,0,0,90863.82031,186,254.5747223,0.2096017,1057857.875,1.842843533,0
3501.542969,0,1479765.25,0,0,0,95538.16406,186,254.6311646,0.218776032,1074549.375,1.871921063,0
3501.540527,0,1500279.875,0,0,0,100378.3906,186,254.6485291,0.221834317,1091528.25,1.901499152,0
3501.542481,0,1520898.75,0,0,0,105184.8359,186,254.6455841,0.221781671,1108393.875,1.930879712,0
3501.54126,0,1540618.625,0,0,0,109382.2969,186,254.6495972,0.222751483,1123040.125,1.956394315,0
3501.561279,0,1561340.125,0,0,0,113474.5,186,254.6105957,0.21708636,1137798.375,1.982104182,0
3501.560059,0,1580487.125,0,0,0,117387.7266,186,254.6080475,0.217030838,1151916,2.006697655,0
3501.55835,0,1600972.875,0,0,0,121523.0859,186,254.6122437,0.218044862,1166746.125,2.032532692,0
3501.556641,0,1618989.125,0,0,0,125380.2109,186,254.6209869,0.219730824,1180443,2.056393147,0
3501.552979,0,1639060.125,0,0,0,129552.5391,186,254.6317139,0.221744239,1195086.625,2.081903219,0
3501.55127,0,1657871.125,0,0,0,133255.3125,186,254.6404572,0.223402709,1207958.25,2.104326248,0
3501.552002,0,1678462,0,0,0,137391.0625,186,254.6411591,0.223864645,1222296.875,2.129304647,0
3501.550293,0,1696594.75,0,0,0,141293.8281,186,254.6471558,0.225121528,1235730.25,2.152706623,0
3501.54126,0,1727347.25,0,0,0,145648.4375,186,254.6683655,0.228718802,1250414.875,2.178287745,0
3501.539063,0,1756949.25,0,0,0,149520.4531,186,254.6781769,0.230539903,1263338.25,2.200801134,0
3501.437988,0,1785943.5,0,0,0,156966.0313,186,254.8454285,0.255582869,1285024.375,2.238579512,0
3501.433838,0,1813220.5,0,0,0,164296.5625,186,254.8736572,0.260236979,1305862.625,2.274880648,0
3501.446045,0,1832856.375,0,0,0,171427.7969,186,254.8578491,0.258739799,1326292.75,2.310471058,0
3501.444336,0,1847676.125,0,0,0,178180.5469,186,254.8623047,0.260046542,1345507.5,2.343944073,0
3501.525391,0,1867140.625,0,0,0,182599,186,254.7225494,0.240482241,1359462.375,2.368254185,0
3501.524902,0,1886339.75,0,0,0,185887.5938,186,254.7015839,0.237703815,1370008.625,2.386626244,0
